연번,회사명,면허대수,대표자, 주소(주사무소),전화번호
30,대흥운수(주),48,하동수,달서구 문화회관5길 58(장기동),053-592-0224
31,동덕운수(주),60,이승훈,달서구 진천로3길 146(진천동),053-761-0357
32,동신운수(주),50,정영주,달성군 화원읍 사문진로 340,053-527-1009
33,동양택시(주),74,황중근,남구 현충로 141(대명동),053-656-7477
34,동영산업(주),86,고장희,달서구 달구벌대로 276길 9(장기동),053-557-7773
35,동진택시(주),45,김동호,달서구 문화회관5길 50(장기동),053-522-6340
36,드림택시협동조합,43,최현주,달서구 대명천로 291(본리동),053-743-1462
37,미소택시 협동조합,73,한석장,달서구 성서공단북로65길 5(갈산동),053-965-5993
38,바른협동조합,223,김윤태,달서구 성서4차첨단로 184,053-642-3300
39,삼부택시(합명),50,배창규,서구 국채보상로 38-7(중리동),053-564-6700
40,삼성택시자동차(주),91,김기철,동구 안심로55길 42(동호동),053-764-9001
41,선진택시(합명),77,이인재,달서구 성서공단북로 65길 5,053-526-9009
42,세아자동차(주),54,이철규,동구 효신로16길 122(효목동),053-762-1691
43,세한운수(주),90,한익수,달서구 조암로22길 58(월암동),053-632-3600
44,(주)시민택시,106,이동훈,동구 방촌로 54(검사동),053-985-7210
45,(주)신대우택시,60,김원일,달성군 화원읍 구라1길 57,053-742-9322
46,신성운수(주),60,박창동    ,달서구 성서4차첨단로 184,053-527-0839
47,신신교통(주),70,김준홍,동구 신평로 154-2(신평동),053-982-9108
48,신우기업(주),42,곽영호,달성군 화원읍 사문진로7길 58,053-639-2525
49,신우운수(주),81,곽영호,남구 대명복개로 56-2,053-352-5551
50,신우자동차(주),60,곽영호,달성군 화원읍 사문진로7길 58,053-626-3355
51,신우택시(주),80,곽영호,남구 대명복개로 56-2,053-323-5762
52,신진택시(주),106,김은옥,동구 신평로 149,053-982-2431
53,(주)아세아택시,93,"우성기,우상욱",남구 중앙대로32길 3,053-472-5202
54,아주운수(주),46,심규훈,동구 공항로53길 34-5(지저동),053-762-1656
55,아진교통(주),30,김원일,달성군 화원읍 구라1길 57,053-742-9322
56,안덕교통(주),53,이순이,"동구 방천로 58,2층(지저동)",053-985-7001
57,알파택시(주),81,정광우,동구 화랑로100길 139(용계동) ,053-955-7786
58,영일택시(주),85,김연수,북구 도남길 15(국우동),053-326-2092
59,영진운수(주),32,박병석,동구 신평로 58-4(신평동),053-983-0771
60,용성운수(주),61,박주성,대구광역시 동구 송라로16길 94(신천동),053-562-4588
61,(주)우리교통,70,김영만,서구 새방로27길 39(상리동),053-632-3637
62,우리택시(합),46,김영만,서구 새방로 27길 39(상리동),053-633-1535
63,우석운수(주),48,김철준,남구 봉덕로 51-1,053-744-6237
64,(주)우성택시,74,우현욱,서구 국채보상로 82,053-559-3439
65,우진택시(주),31,우상욱,서구 국채보상로5길 8,053-525-7601
66,운수대통협동조합,90,김상민,달성군 옥포읍 비슬로447길 2-13(본리리 2664),053-555-9951
67,일진운수(주),36,"강동우,강윤덕",동구 화랑로25길 61,053-754-9000
68,(주)제이에스교통,50,오순환,"동구 이노밸리로 134,3층 301호(각산동,뿌띠끄빌딩)",053-984-1111
69,제일택시협동조합,70,안재홍,"달성군 화원읍 명천로 383, 401동 103호",053-611-1980
70,조은택시협동조합,110,최규준,대구광역시 동구 메디밸리로12길 8(사복동),053-962-7010
71,조일교통협동조합,127,서명숙,동구 반야월북로 372(괴전동),053-964-9550
72,(주)조은교통,36,한영기,달성군 가창면 우록길 9,053-763-2201
73,중앙교통(주),62,민준배,달서구 구마로21길 11(본리동),053-522-7338
74,진양택시(주),70,김성환,수성구 지범로 63-3,053-762-6388
75,천우택시(주),77,"권혁만,권병수",달서구 월배로5길 13,053-633-3881
76,청구택시협동조합,83,이호영,달서구 성서공단북로65길 5(갈산동),053-581-1125
77,청운교통(주),49,기창현,달성군 다사읍 서재본4길 11,053-523-0033
78,통운기업(주),54,"남승희,류남기",동구 안심로90길 31(괴전동),053-984-4595
79,팔공희망택시협동조합,94,신현섭,동구 반야월북로12길 14-9,053-766-8503
80,하나교통(주),71,고장희,달서구 달구벌대로276길 9(장기동),053-557-7772~5
81,하나운수(주),43,고장희,달서구 달구벌대로276길 9(장기동),053-557-7772~5
82,(주)하나택시,67,윤여균,동구 공항로 277,053-981-7797
83,한국택시대구협동조합,105,조묵연,동구 방천로 58(지저동),053-759-8333
84,행복한택시(주),63,"오순환, 김영오",동구 이노밸리로26길 9(각산동),053-981-0666
85,K.S택시(주),80,김인남,수성구 희망로 226,053-761-8091
